verb,dim_001,dim_002,dim_003,dim_004,dim_005,dim_006,dim_007,dim_008,dim_009,dim_010,dim_011,dim_012,dim_013,dim_014,dim_015,dim_016,dim_017,dim_018,dim_019,dim_020,dim_021,dim_022,dim_023,dim_024,dim_025,dim_026,dim_027,dim_028,dim_029,dim_030,dim_031,dim_032,dim_033,dim_034,dim_035,dim_036,dim_037,dim_038,dim_039,dim_040,dim_041,dim_042,dim_043,dim_044,dim_045,dim_046,dim_047,dim_048,dim_049,dim_050
aviti,-0.080046594,0.7632249,-0.0012705597,-0.0024029587,-0.00032433576,-0.00055123714,0.0011294141,-0.0025768052,0.0055322587,0.008686502,-0.010164406,0.0510397,-0.0016772788,0.0019572515,-0.0025276614,0.062469326,-0.00407149,0.008998512,-0.0053292876,0.033382237,-0.026521778,0.0025739744,-0.0028726258,0.043335676,-0.0040794592,-0.0025973993,-0.24598664,-0.07951307,0.039310608,-0.41590697,-0.34849706,-0.09853693,0.08125227,-0.10429064,-0.09587397,0.00956749,-0.0010422142,0.012333463,-0.00021256815,0.0022295583,0.00026869477,-0.014056104,0.0008841381,-0.0014975494,-0.00032565944,-0.003884031,0.006777154,0.0039079795,-0.026623037,-0.007317329
bacati,-0.089213714,0.8591957,-0.0034996367,0.00014462783,-0.0014615373,-0.000424913,0.0019899434,0.00049931806,0.003632185,0.0077683283,-0.009886002,0.04323282,3.3152868e-05,0.00065915944,-0.00439561,0.09586043,0.027487276,-0.0052733794,-0.008228289,0.08919447,-0.096181884,0.06957066,-0.0032034507,0.44721067,0.011112522,-0.010646166,0.12778811,-0.004309505,0.000178252,-0.009673737,0.018138878,-0.050452605,0.004741294,-0.00015037497,0.0036210848,-0.00010199555,0.0025041222,0.001402124,-5.6539884e-05,0.00022393123,0.00044489303,-0.0042072465,0.0002912165,-0.0004938526,-0.0002870081,-0.00078466826,0.0014755758,0.0011231579,-0.005248044,-0.0017431742
baciti,-0.10202054,0.98070633,-0.004451886,0.002850799,-0.00092420226,-0.00028680716,0.0013795536,0.0005886869,0.0012462143,0.00248401,-0.004225633,0.026083233,-0.0019407185,0.0032786971,-0.00017392535,-0.0031731627,-0.07032965,-0.05398455,-0.0051435526,0.0096094245,-0.054043222,0.0764887,-0.0043048277,-0.020247348,-0.0007490291,0.0005180996,-0.014272628,0.010905902,-0.00093058945,0.028483843,-0.021600729,0.086661346,-0.01062559,0.009075673,-0.0064156307,0.0031283863,-0.0055611758,0.007033196,-0.00027278592,0.0005859137,0.0009345825,-0.011390408,7.933613e-06,-0.00080231455,-0.0005958729,-0.0014824644,0.005380919,0.002540123,-0.015671918,-0.0034659563
baviti,-0.10121094,0.9747345,-0.004599344,0.0026671442,-0.0016124471,6.607216e-05,0.0011114462,-4.6419143e-05,0.002655763,0.0010339435,0.0013570251,-0.038396552,0.005119034,-0.0019895174,-0.002610201,0.07130474,0.024118405,0.024809243,-0.01144555,0.1379406,-0.06212092,-0.024381127,0.003639982,-0.060554072,0.001525201,0.00018747633,0.02295484,0.008541601,2.1789487e-05,0.021970147,-0.005526176,0.01944532,-0.0016998901,0.01799943,-0.050387166,0.0012669177,-0.012459647,0.00070842804,-0.00014932583,0.00016732211,-6.0131824e-05,-0.0014200212,-0.00033438517,0.00011695639,-0.0002042412,-0.00027326192,0.00043925387,0.00020137292,-0.0007489121,0.0014966676
bazirati,-0.08630401,0.8302935,-0.0041388306,0.0026907793,-0.0012153093,0.00055075466,0.001191931,0.0009056377,0.0019109102,0.006500204,-0.011246051,0.043852262,0.006135557,-0.017677732,0.002380243,0.118856154,0.02681891,0.02762281,-0.014706125,0.09568036,-0.3261923,-0.39858732,0.022582928,-0.07406507,0.0014915811,0.0034258917,0.06302133,0.0029893888,-0.0026362662,0.007739663,0.00384219,0.0051940223,0.0020779218,-0.015762594,0.0045556678,-1.4001256e-05,0.0033808695,-0.00016705839,-0.00013411847,1.6642865e-05,0.00052095234,0.0012565857,-0.0012547938,3.1980908e-05,-0.00010409009,-0.0005869618,0.0009456229,0.0015239267,0.0021113355,0.0060164663
bediti,0.0,5.614595e-05,0.719945,0.16540797,0.047807075,0.16470292,-0.207213,0.06221175,-0.34574625,0.109724075,0.028292345,-0.027711105,0.07031331,-0.15863459,0.041490745,-0.29194698,0.052701857,0.062608495,0.10801708,-0.10359636,0.02501999,0.03668767,0.034526046,0.0,0.017342268,0.02666616,-0.071897864,0.032450844,-0.027670205,0.08920279,-0.11083532,0.0804159,0.008376604,0.02407251,0.082286984,-0.19626094,0.052968323,0.013337893,-0.035085913,0.02531646,-0.0025245142,-0.0076730815,0.050406672,-0.011010095,-0.011461943,0.0006100285,-0.037629843,-0.03013204,0.06729337,0.020300684
beležiti,-0.082244486,0.7899054,-0.003480874,0.0052662594,-0.001748495,-0.00048001646,-0.0030209606,-0.005402934,0.0019441453,-0.0412183,0.07336807,-0.5716058,0.029418986,0.0061966972,-7.684074e-05,-0.17497121,0.00030518477,0.0062986626,0.003537747,-0.01568631,0.03763476,-0.013282926,0.0010804823,-0.011004382,0.002936088,-0.003968826,0.03250788,-0.00082413096,0.0009920322,-0.005659086,0.0021809104,-0.02022461,0.0025022395,0.0010768259,-0.0010882175,-0.0017368117,0.000773495,0.0037304787,-4.5296412e-05,3.2116826e-05,0.00044832844,-0.007202646,-0.000442551,-0.0010308096,-0.00067164947,-0.0012673498,0.0033264204,0.0026042159,-0.014504074,-0.0037946221
besneti,-0.071296416,0.6874283,-0.0025405325,-0.0009904003,-0.0013856975,-0.00058353937,0.0019425655,0.00040907232,0.0035691932,0.007612993,-0.00969456,0.04294082,-3.3468335e-05,0.0006773243,-0.004537508,0.10084008,0.032908365,-0.0050776317,-0.010336524,0.11379743,-0.1187073,0.08870396,-0.004234041,0.6401584,0.016790979,-0.01660699,0.21737647,-0.0077698235,0.00023378621,-0.016400643,0.038883477,-0.10849764,0.010024497,0.0011108569,0.0071225814,-0.00043107892,0.0066517014,0.0063165324,-7.8957375e-05,0.00054194266,0.0015141813,-0.020113366,0.001667847,-0.003684771,-0.0011396116,-0.0042203423,0.0089416,0.008732502,-0.042770278,-0.010630738
bežati,0.0,0.0,-0.058268707,0.0,-0.12691183,-0.023698172,-0.3130544,-0.193348,0.16098058,0.15156074,-0.25188234,-0.053827118,-0.067205675,-0.0705501,0.08954802,0.0630099,-0.09037363,-0.118235014,-0.10778112,-0.09414249,0.045109708,0.10619666,-0.016508242,-0.1251771,0.00283674,-0.014057107,0.3351772,0.3529891,-0.026207276,0.2887849,-0.23374432,-0.13617693,0.009306541,-0.090684846,0.11948061,-0.3996887,0.09386248,0.067316614,0.024387417,0.027601829,0.04545163,-0.05630585,0.0030984767,-0.015247734,-0.04136179,-0.030018555,-0.020434784,-0.13110639,-0.13693768,-0.007731928
bilježiti,-0.0876043,0.84199417,-0.004023304,0.0047724294,-0.0016544713,0.00011793993,-0.0015381288,-0.002960293,0.0017998756,-0.023520561,0.04114183,-0.3446705,0.023430943,-0.009362789,0.0026848644,-0.04346304,0.016523542,0.026029196,-0.007854138,0.0528955,-0.20842053,-0.313714,0.017837178,-0.07228704,0.0031866566,-0.00040399277,0.08216744,0.0010451829,-0.0013664977,0.0012435132,0.010228965,-0.025578719,0.004620691,-0.01050222,0.0035749602,-0.0012492466,0.004476866,0.0043424238,-0.00012599461,0.00013310958,0.001094866,-0.010446446,-0.0006132845,-0.0020854762,-0.0008491014,-0.0027446474,0.0061342143,0.0062822476,-0.024811296,-0.0017861571
birati,-0.10152019,0.9764559,-0.004689187,0.0031582504,-0.00058266445,-0.00034593724,0.001879909,0.001287719,0.0014472655,0.0074354936,-0.014932498,0.10990669,-0.0065474603,0.0033916305,0.0018687162,-0.035464782,-0.100187756,-0.08218738,-0.0050592553,-0.013514452,-0.0027650099,-0.0009355689,-0.0029732233,0.01439636,-0.0021847985,0.0004578605,-0.009131669,0.0031212065,-0.0008848999,0.00963179,-0.0048555806,0.03429129,-0.004426467,0.0011210756,-0.0019125328,0.00073464116,-0.0039059492,-0.003079918,7.2509906e-06,-0.00037692717,-0.0011124978,0.019343244,-0.0014952801,0.004419222,0.0009036166,0.004419689,-0.011223917,-0.012797377,0.05573978,0.0058238367
bistriti,-0.07202243,0.6943951,-0.0025776462,-0.0009523539,-0.0013903894,-0.00057887705,0.0019471006,0.0004128277,0.0035767092,0.00762979,-0.009715754,0.04301534,-3.1188363e-05,0.00067770714,-0.0045393785,0.10081775,0.032767966,-0.0050922683,-0.010278117,0.11310523,-0.11809529,0.08816492,-0.0042041484,0.6343145,0.016615564,-0.016421022,0.21452402,-0.007658027,0.00023217037,-0.016185196,0.038199525,-0.10658026,0.0098500345,0.001066904,0.007007265,-0.00041981591,0.006511654,0.0061475923,-7.827093e-05,0.0005311893,0.0014774724,-0.019561851,0.0016199736,-0.0035728682,-0.0011099883,-0.004100268,0.008680069,0.008464992,-0.04145007,-0.010318656
biti,-0.1026421,0.98837173,-0.0048439526,0.002517201,-0.0013709815,0.00010063659,0.0017159524,0.00089701853,0.0026466525,0.0070001013,-0.008864347,0.045602154,-0.00075657724,0.0014748465,-0.0019792868,0.042750217,0.018845312,-0.00239564,-0.00079830986,0.012013463,-0.028330157,0.023063805,-0.00070933596,-0.0056966026,-0.00021514404,0.0009205507,-0.017617062,0.0092039965,-0.0006581058,0.023441672,-0.01888251,0.067130424,-0.0075493287,0.011044516,-0.022547917,0.0021944703,-0.008788153,0.001430655,-0.00018488507,0.0002987655,6.920404e-05,-0.00018542704,-0.00045015514,0.00085039425,-1.1423046e-05,0.00042458877,-0.00020243532,-0.0017515287,0.0063609616,0.0018714733
bivati,-0.093612775,0.8925035,-0.0031913451,0.003335071,0.001779074,-0.0018012447,0.0014529309,0.0014751112,-0.0031988674,0.0013979105,-0.00995555,0.060205564,-0.008212978,0.0010284442,-0.0025570858,0.16526507,-0.32551268,-0.20702991,-0.010668865,-0.092390746,0.06490928,-0.017506583,-0.009475416,-0.00791178,-0.006100071,-0.0013155543,0.029023178,0.0016970816,-0.0009504161,0.0072051887,0.009612494,0.00049028697,-0.001897351,0.00045306468,0.009756381,0.001256369,0.0023690087,0.0051060203,0.000133192,-0.00024492067,-0.00023511137,0.0060125915,-0.00091470394,0.0009001916,0.00021856779,0.0012567566,-0.0008931021,7.748948e-05,0.012624114,0.0038973112
blagati,-0.07691878,0.74010104,-0.0038062443,0.002683013,-0.0011238921,0.00068180216,0.0009960968,0.00094744156,0.0015073476,0.0061390707,-0.01142305,0.043751184,0.00740835,-0.021600416,0.0037777224,0.12597379,0.02920497,0.034881383,-0.017112298,0.10865903,-0.3875109,-0.49346802,0.027830359,-0.099763475,0.00200883,0.0037919488,0.09063251,0.0030545816,-0.003267771,0.008639567,0.010312326,-0.0091543365,0.0039466177,-0.018903602,0.006433633,-0.00014858576,0.005554784,0.0017756092,-0.00016384001,0.00011519177,0.0010449707,-0.0048912796,-0.0009914887,-0.0013404031,-0.00045958077,-0.002157666,0.004332962,0.0052171606,-0.013702877,0.003823095
blažiti,-0.07135031,0.6975052,-0.005500836,0.004171724,-0.0019828458,0.0011698967,0.0022895222,0.002350372,0.0036823521,0.015644059,-0.033446316,0.3371891,-0.019519575,0.013941845,0.021960622,-0.6176287,-0.017321918,-0.07177675,0.0011215344,-0.017415542,0.007977158,-0.030975338,0.0014197194,-0.009241754,0.00096919015,-0.00025406008,0.05158833,0.00092614867,-0.0012958553,0.010085188,0.018896736,-0.018922687,-0.00086768996,0.0020216266,0.011090113,0.00021961855,0.0035560287,0.00060193,-3.2508695e-05,-0.00016287807,0.00046772487,-0.0049735303,0.00025755685,-0.001267798,-0.0003670809,-0.0012706695,0.002580282,0.002992853,-0.0138955405,-0.0029868027
bledeti,-0.09408429,0.9002856,-0.0037446755,0.0034348695,0.00078464614,-0.0009642292,0.0014219035,0.0015226265,-0.002084808,0.001421383,-0.008263652,0.06454082,-0.007603986,0.002113949,-0.0036418831,0.16153383,-0.22762632,-0.13690403,-0.011328904,-0.018831324,-0.11029944,0.19497886,-0.010987278,-0.13208164,-0.0012747356,-0.002551266,0.08690635,-0.001794954,0.0016959489,-0.001406529,0.023931226,-0.054255027,0.0041012485,0.004256068,0.00013858234,0.00086111244,0.0029843533,0.005556857,2.376875e-05,-0.00029939227,0.00041505345,-0.0049041873,-0.00040560155,-0.0011457053,-0.00049917476,-0.0009057811,0.0041388115,0.004650553,-0.013187572,-0.00217175
blistati,-0.08566071,0.82282776,-0.0036376084,0.005104545,-0.0017448438,-0.0004531446,-0.0026786886,-0.004998589,0.0020743725,-0.03792982,0.06779086,-0.53062636,0.027474916,0.005826492,-0.00035476283,-0.1573864,0.0013830387,0.0054736063,0.0030388474,-0.012076619,0.031648368,-0.010310948,0.0009335362,-0.007337391,0.0026735847,-0.003560612,0.026002144,-0.00056403887,0.0009254597,-0.0049603693,0.00025332943,-0.013806618,0.001882351,0.00079582253,-0.0012560176,-0.0015659112,0.00028680064,0.0028215437,-4.2969008e-05,-2.2375086e-07,0.0002892152,-0.0046046237,-0.00059130497,-0.0005140369,-0.000515247,-0.00071926176,0.002072061,0.0013564768,-0.008197383,-0.0023136938
bližiti,-0.0584628,0.5660988,-0.0030909625,0.0022879392,-0.0020650874,-0.00039699735,0.0014458334,0.00048205428,0.0023574985,0.005138258,-0.010726785,0.034310494,-0.00081571966,0.0014845069,-0.0026872496,0.06342777,0.011826014,0.017285818,-0.004218931,0.036350828,-0.054308884,0.0006357004,-0.0018906737,0.07404133,-0.0024505942,0.006224338,-0.61658007,0.0071408683,-0.029712934,0.16306871,0.3701776,-0.30990347,-0.0022361288,0.0132497875,0.111258015,-0.042704027,0.02673587,0.00766568,0.0005446046,-0.0004829917,0.0016985678,-0.028353292,0.0037439724,-0.0057448307,-0.0012924428,-0.0043171756,0.009610318,0.011387484,-0.057113502,-0.013944777
bojati,-0.07520084,0.72358793,-0.0037426902,0.0026754332,-0.0011062208,0.00070174015,0.00096153794,0.00095207867,0.0014373559,0.0060650185,-0.011425021,0.043630313,0.007600434,-0.022195537,0.003999201,0.1268458,0.029528638,0.035997063,-0.017468892,0.11054268,-0.3967273,-0.5080008,0.028632991,-0.10378973,0.0020899335,0.003843396,0.095013835,0.0030575523,-0.0033652592,0.008768092,0.011372483,-0.011544326,0.004250841,-0.019383194,0.006733628,-0.00017095557,0.005907846,0.0021002186,-0.00016844203,0.00013164557,0.0011312745,-0.005925952,-0.0009437905,-0.0015715775,-0.00051914394,-0.0024205272,0.004901027,0.0058355187,-0.016376315,0.003435512
